mp_index,mp_name,nature_membership,term_start_date,term_end_date,term,pc_name,state,mp_political_party,mp_gender,educational_qualification,educational_qualification_details,mp_age,ag_debates,ag_private_member_bills,ag_questions,avg_attendance,mp_note,ag_national_average_debate,ag_national_average_pmb,ag_national_average_questions,avg_attendance_national_average,ag_state_average_debate,ag_state_average_pmb,ag_state_average_questions,avg_attendance_state_average,mp_house
900443,Ranjib Biswal,Elected,03-04-2014,02-04-2020,First Term,N/A,Odisha,Indian National Congress,Male,Post Graduate,"B.A.(Hons.), M.A. Educated at BJB College, Bhubaneswar, Odisha and St. Stephen's College, University of Delhi, Delhi",53,23,0,514,0.681372549, Data corresponds to the period from 01-06-2009 to 09-08-2024.,97.86446071,1.500965027,324.7388369,0.797189314,120.7416667,1.2,351.5206349,0.779857655,Rajya Sabha
900156,Gulam Rasool Balyawi,Elected,23-06-2014,07-07-2016,First Term,N/A,Bihar,Janata Dal (United),Male,Under Graduate,"Fazilat Educated at Chashma-E-Rahmat Oriental College, Ghazipur, Uttar Pradesh",55,43,0,216,0.906040268, Data corresponds to the period from 01-06-2009 to 09-08-2024.,34.11944495,0.545676776,116.3493734,0.797189314,49.28571429,0.071428571,84.71428571,0.828824349,Rajya Sabha
900330,Narayan Tatu Rane,Elected,03-04-2018,02-04-2024,First Term,N/A,Maharashtra,Bharatiya Janata Party,Male,Matric,11th Std. (Passed S.S.C.) Educated at Pune Divisional Board,72,1,0,209,0.590062112,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation. They do not sign the attendance register, ask questions, or introduce private member bills. Data corresponds to the period from 01-06-2009 to 09-08-2024.",51.58987449,0.520196128,124.0591295,0.797189314,52.94166667,1.65,174.5083333,0.786057162,Rajya Sabha
900471,Saman Pathak,Elected,03-04-2006,02-04-2012,First Term,N/A,West Bengal,Communist Party of India (Marxist),Male,Graduate,"B.A., Diploma in Computer Educated at North Bengal University, Siliguri",50,31,0,79,0.823529412, Data corresponds to the period from 01-06-2009 to 09-08-2024.,23.58244777,0.61776919,178.9718321,0.797189314,37.09223058,0.40952381,125.6536341,0.710191158,Rajya Sabha
900350,P. Kannan,Elected,07-10-2009,06-10-2015,First Term,N/A,Puducherry,Indian National Congress,Male,Inter/ Higher Secondary,"P.U.C. (Intermediate) ; Educated at Tagore Arts College, Puducherry",74,13,0,1,0.531862745, Data corresponds to the period from 01-06-2009 to 09-08-2024.,56.34732959,1.211428335,336.4707291,0.797189314,13,N/A,1,0.751617863,Rajya Sabha
900275,Mallikarjun Kharge,Elected,26-06-2020,In Office,First Term,N/A,Karnataka,Indian National Congress,Male,Professional Graduate,"B.A., LL.B; Educated at Karnataka University, Karnataka",82,101,0,276,0.515151515, Data corresponds to the period from 01-06-2009 to 09-08-2024.,97.10681357,0.970946317,173.0501618,0.797189314,43.19393939,0.372727273,196.6727273,0.740546676,Rajya Sabha
900011,A.V. Swamy,Elected,04-04-2012,03-04-2018,First Term,N/A,Odisha,Independent,Male,Professional Graduate,"B.Sc. (Hons.), B.Sc. (Tech.), LL.B., Certificate in Aid Administration Educated at Ravenshaw College, Cuttack, U.D.C.T., Bombay University, Mumbai, Utkal University, Bhubaneswar and Selly Oak College, Birmingham, U.K.",95,55,0,74,0.94047619, Data corresponds to the period from 01-06-2009 to 09-08-2024.,76.5291343,1.331050954,333.7635875,0.797189314,72.36388889,0.7,362.3333333,0.779857655,Rajya Sabha
900227,Kanjibhai Patel,Elected,03-04-2006,02-04-2012,First Term,N/A,Gujarat,Bharatiya Janata Party,Male,Graduate,"B.A. (Special) Educated at S.B.Garda College, Navsari, Gujarat",88,6,0,258,0.936651584, Data corresponds to the period from 01-06-2009 to 09-08-2024.,23.58244777,0.61776919,178.9718321,0.797189314,15.98601399,N/A,152.4965035,0.855704017,Rajya Sabha
900166,Harshvardhan Singh Dungarpur,Elected,05-07-2016,04-07-2022,First Term,N/A,Rajasthan,Bharatiya Janata Party,Male,Graduate,B.A. (Hon's) from St. Xavier College (University of Bombay),68,26,0,382,0.897435897, Data corresponds to the period from 01-06-2009 to 09-08-2024.,101.5030364,1.196297868,289.4391529,0.797189314,61.23333333,2.372222222,296.1444444,0.836013724,Rajya Sabha
900201,K. Malaisamy,Elected,30-06-2004,29-06-2010,First Term,N/A,Tamil Nadu,All India Anna Dravida Munnetra Kazhagam,Male,Doctorate,"B.A., B.L., M.B.A., M.A., Ph.D. Educated at Alagappa College, Karaikudi, Madras Law College, Chennai and University of Madras, Chennai",87,29,0,126,0.976470588, Data corresponds to the period from 01-06-2009 to 09-08-2024.,10.16469479,0.32389617,78.08241781,0.797189314,15.83333333,0.166666667,74.61111111,0.716988582,Rajya Sabha
