id,house,state,constituency_term,name,party,age,gender,assets,liabilities,cases,serious_cases,education,pan,income,profession,assets_ns,liabilities_ns,cases_ns,serious_cases_ns,income_ns,gender_encoded,house_encoded,education_encoded
612,Lok Sabha,Karnataka,Dakshina Kannada,Nalin Kumar Kateel,BJP,52,M,14678300,4450945,4,1,10th Pass,Y,621756,Member of Parliament,0.0002742748975531786,0.0021217254307499063,0.0196078431372549,0.01818181818181818,0.00023721143452616977,1,0,0
613,Lok Sabha,Odisha,Dhenkanal,Mahesh Sahoo,BJD,58,M,14529286,0,1,0,12th Pass,Y,174000,Member Of Odisha Legislative Assembly from Pallahara AC Cum Planing Committee Chairman Angul And Editor Ageiba(News Paper),0.0002714634192980283,0.0,0.004901960784313725,0.0,6.638422404858744e-05,1,0,1
614,Lok Sabha,Assam,Tezpur,Pallab Lochan Das,BJP,41,M,14445139,0,0,0,Graduate,Y,1478860,Labour and Employment and Tea Tribes Welfare Minister Gov. of Assam,0.0002698758002774253,0.0,0.0,0.0,0.0005642124918189312,1,0,5
615,Lok Sabha,Assam,Lakhimpur,Pradan Baruah,BJP,53,M,14307978,5839285,0,0,12th Pass,Y,1474351,Social Worker and Farmer,0.00026728795504842213,0.0027835346161088187,0.0,0.0,0.0005624922247716032,1,0,1
616,Lok Sabha,Jharkhand,Ranchi,Sanjay Seth,BJP,60,M,14044267,100000,0,0,Graduate Professional,Y,1806420,Social Worker (Ex Chairman JKVIB),0.0002623124645432082,4.766910017423056e-05,0.0,0.0,0.0006891827011830422,1,0,6
617,Lok Sabha,West Bengal,Diamond Harbour,Abhishek Banerjee,AITC,31,M,13794320,0,0,0,Graduate,Y,7503130,Salaried,0.00025759666230019707,0.0,0.0,0.0,0.0028625831206073446,1,0,5
618,Lok Sabha,Assam,Kaliabor,Gaurav Gogoi,INC,36,M,13727834,1250000,0,0,Post Graduate,Y,707318,Member of parliament,0.00025634225705456964,0.0005958637521778819,0.0,0.0,0.0002698549229057401,1,0,10
619,Lok Sabha,Manipur,Outer Manipur,Lorho S. Pfoze,NPF,59,M,13709352,0,0,0,Graduate Professional,Y,0,SELF EMPLOYED,0.0002559935533011526,0.0,0.0,0.0,0.0,1,0,6
620,Rajya Sabha,Madhya Pradesh,2018-2024,Ajay Pratap Singh,BJP,50,M,13615025,250000,0,0,Post Graduate,Y,0,Income from Agriculture Land,0.0002542138660947588,0.0001191727504355764,0.0,0.0,0.0,1,1,10
621,Rajya Sabha,Himachal Pradesh,2022-2028,Dr Sikander Kumar,BJP,53,M,13586274,1521994,0,0,Doctorate,Y,2309770,"Professor (Ex-Vice Chancellor, Himachal Pradesh University)",0.0002536714149739659,0.0007255208445057786,0.0,0.0,0.0008812200527626772,1,1,4
622,Lok Sabha,Chhattisgarh,Bilaspur,Arun Sao,BJP,51,M,13544588,50000,0,0,Graduate Professional,Y,1037950,Advocate,0.0002528849165070823,2.383455008711528e-05,0.0,0.0,0.0003959971571909847,1,0,6
623,Lok Sabha,Uttar Pradesh,Meerut,Rajendra Agarwal,BJP,68,M,13489377,1990094,3,0,Post Graduate,Y,688347,MP Salary,0.0002518432390409039,0.0009486599024213519,0.014705882352941176,0.0,0.000262617134891799,1,0,10
624,Lok Sabha,Jharkhand,Giridih,Chandra Prakash Choudhary,AJSU Party,50,M,13456889,1330000,2,0,Graduate,Y,2133588,Social Service & Politics,0.00025123028116074954,0.0006339990323172664,0.00980392156862745,0.0,0.0008140033552837793,1,0,5
625,Lok Sabha,Kerala,Idukki,Dean Kuriakose,INC,37,M,13395011,10000000,204,37,Post Graduate,Y,0,Advocate,0.0002500628160133661,0.004766910017423055,1.0,0.6727272727272727,0.0,1,0,10
