id,house,state,constituency_term,name,party,age,gender,assets,liabilities,cases,serious_cases,education,pan,income,profession
634,Rajya Sabha,Tamil Nadu,2022-2028,Thiru. R. Dharmar,AIADMK,52,M,13000718,0,0,0,Graduate,Y,0,"Agriculture, Politics"
635,Rajya Sabha,West Bengal,2018-2024,Abir Ranjan Biswas,AITC,46,M,13000707,500000,0,0,Post Graduate,Y,487230,"Advocate, Information Technology Consultant"
636,Lok Sabha,Kerala,Mavelikkara,Kodikunnil Suresh,INC,56,M,12965129,982819,1,0,Graduate Professional,Y,419444,Social Worker
637,Lok Sabha,Jharkhand,Lohardaga,Sudarshan Bhagat,BJP,52,M,12947303,525000,0,0,Graduate,Y,1315693,"M.P., Central Govt State Minister (Govt.Of India )"
638,Lok Sabha,Jharkhand,Rajmahal,Vijay Kumar Hansdak,JMM,36,M,12919555,2743560,0,0,10th Pass,Y,1813200,Social Worker & Business
639,Rajya Sabha,Kerala,2022-2028,Sandosh Kumar,CPI,51,M,12776818,2100000,0,0,Graduate Professional,Y,0,"Social Worker, Advocate"
640,Lok Sabha,Bihar,Gaya,Vijay Kumar,JD(U),55,M,12766141,3148932,3,5,12th Pass,Y,533280,Business( Transport)
641,Lok Sabha,Assam,Jorhat,Topon Kumar Gogoi,BJP,50,M,12597461,455398,0,0,Post Graduate,Y,1174406,"MLA, Tea,Cultivation"
642,Lok Sabha,West Bengal,Arambag,Aparupa Poddar (Afrin Ali),AITC,33,F,12527597,4244000,1,0,Post Graduate,Y,1430473,Profession
643,Rajya Sabha,Kerala,2018-2024,Binoy Viswam,CPI,62,M,12509618,0,2,0,Graduate Professional,Y,0,Social Activities
644,Lok Sabha,Kerala,Kozhikode,M.K.Raghavan,INC,66,M,12502009,3174805,1,3,Graduate,Y,609062,Social Worker
645,Rajya Sabha,Rajasthan,2018-2024,Bhupender Yadav,BJP,48,M,12485915,4044797,0,0,Graduate Professional,Y,448037,Advocate
646,Lok Sabha,Maharashtra,Jalgaon,Unmesh Bhaiyyasaheb Patil,BJP,41,M,12324604,2529954,1,0,Graduate Professional,Y,1910890,Agriculture And Business
647,Rajya Sabha,West Bengal,2018-2024,Md. Nadimul Haque,AITC,48,M,12285073,0,0,0,Graduate,Y,937660,Business
648,Rajya Sabha,Gujarat,2020-2026,Shaktisinh Gohil,INC,60,M,11991079,0,1,0,Post Graduate,Y,530440,"Lawyer, Agriculture, Social And Political Work"
649,Lok Sabha,Andhra Pradesh,Anantapur,Talari Rangaiah,YSRCP,48,M,11773091,1135547,1,1,Doctorate,Y,1413794,voluntarily retired from government sevice.(G.O.ENCLOS ED)
650,Lok Sabha,Odisha,Berhampur,Chandra Sekhar Sahu,BJD,68,M,11716989,0,0,0,10th Pass,Y,345000,Social Worker
651,Lok Sabha,Odisha,Bargarh,Suresh Pujari,BJP,58,M,11673429,0,0,0,Post Graduate,Y,752413,Advocate
652,Lok Sabha,West Bengal,Jalpaiguri,Jayanta Kumar Roy,BJP,51,M,11625047,1352581,0,0,Graduate Professional,Y,945010,Doctor
653,Rajya Sabha,Odisha,2022-2026,Niranjan Bishi,BJD,53,M,11617594,2134761,17,15,Graduate Professional,Y,338910,"Social Worker, Agriculture"
654,Rajya Sabha,Kerala,2018-2024,Elamaram Kareem,CPI(M),64,M,11423120,296000,4,0,12th Pass,Y,0,Social Service
655,Lok Sabha,Gujarat,Junagadh,Chudasama Rajeshbhai Naranbhai,BJP,36,M,10866041,1481768,1,1,12th Pass,Y,988435,"N.R,Chudasama Firm (Proprietor)"
656,Lok Sabha,Telangana,Nagarkurnool,Pothuganti Ramulu,TRS,66,M,10778684,0,0,0,Graduate,Y,762856,Agriculture
657,Rajya Sabha,Uttar Pradesh,2022-2028,Darshna Singh,BJP,47,F,10773206,965280,0,0,Post Graduate,Y,499150,House Wife
658,Lok Sabha,Uttar Pradesh,Jalaun,Bhanu Pratap Singh,BJP,60,M,10699516,12265,1,1,Post Graduate,Y,720000,Agriculture & MPs Salary
659,Lok Sabha,Uttar Pradesh,Fatehpur,Sadhvi Niranjan Jyoti,BJP,52,F,10667372,910148,0,0,12th Pass,Y,600000,Narrator
660,Lok Sabha,West Bengal,Mathurapur,Choudhury Mohan Jatua,AITC,80,M,10667304,0,0,0,Post Graduate,Y,1792699,Retried IPS Officer
661,Lok Sabha,Madhya Pradesh,Khajuraho,Vishnu Datt Sharma,BJP,49,M,10589334,2507176,0,0,Post Graduate,Y,7970,Agriculturist
662,Lok Sabha,Bihar,Maharajganj,Janardan Singh Sigriwal,BJP,55,M,10451986,376000,5,5,Graduate,Y,103902,Social Worker
663,Lok Sabha,West Bengal,Jhargram,Kunar Hembram,BJP,56,M,10387498,565000,0,0,Graduate Professional,Y,348580,Profession - Engineer
664,Lok Sabha,West Bengal,Kolkata Dakshin,Mala Roy,AITC,61,F,10308401,0,3,1,Graduate,Y,306400,"Social Service, Councillor Ward No-88"
665,Rajya Sabha,Assam,2019-2025,Kamakhya Prasad Tasa,BJP,43,M,10262015,0,0,0,Post Graduate,Y,702140,Cultivator and Politician
666,Lok Sabha,Gujarat,Panchmahal,Ratansinh Rathod,BJP,59,M,10260663,1081611,0,0,Graduate Professional,Y,984085,"Social Worker, Agriculture"
667,Lok Sabha,West Bengal,Maldaha Uttar,Khagen Murmu,BJP,59,M,10232439,1070914,4,2,Graduate,Y,287570,Agriculture
668,Rajya Sabha,Uttar Pradesh,2018-2024,Harnath Singh Yadao,BJP,77,M,10230873,0,0,0,Graduate,Y,402862,Agriculturist and Pensioner (Uttar Pradesh Legislative Council Rs. 44200/- Per month)
669,Lok Sabha,Uttarakhand,Almora,Ajay Tamta,BJP,46,M,9910448,55845,0,0,12th Pass,Y,649744,"Member of Parliament, Transporter"
670,Rajya Sabha,West Bengal,2018-2024,Subhasish Chakraborty,AITC,60,M,9834967,1897600,0,0,Graduate Professional,Y,1450971,Advocate
671,Rajya Sabha,Tamil Nadu,2019-2025,M. Shanmugam,DMK,79,M,9666865,471058,0,0,10th Pass,Y,0,Agriculture
672,Lok Sabha,West Bengal,Cooch Behar,Sri Nisith Pramanik,BJP,33,M,9629810,0,11,21,8th Pass,Y,1063615,Assitant Teacher of a Primary School
673,Lok Sabha,Odisha,Kalahandi,Basanta Kumar Panda,BJP,58,M,9547000,0,3,7,12th Pass,Y,1259500,MLA and Social service and Cultivation
674,Rajya Sabha,Assam,2020-2026,Ajit Kumar Bhuyan,IND,66,M,9333060,1750000,10,0,Graduate,Y,1152759,Journalist
675,Rajya Sabha,Himachal Pradesh,2020-2026,Indu Bala Goswami,BJP,53,F,9294910,1582847,0,0,Graduate,Y,681400,"Director, Parmarth International School, Baijnath,Tehsil Baijnath, District Kangra, H.P. Pin Code 176125"
676,Lok Sabha,Tamil Nadu,Chidambaram,Thirumaavalavan Thol,Viduthalai Chiruthaigal Katchi,56,M,9244092,394248,3,4,Doctorate,Y,200000,POLITICAL
677,Rajya Sabha,West Bengal,2023-2029,Samirul Islam,AITC,36,M,8971070,380437,0,0,Post Graduate,Y,582670,"Assistant Professor, Andrews College, Kolkata"
678,Lok Sabha,West Bengal,Murshidabad,Abu Taher Khan,AITC,57,M,8926616,1350000,3,4,8th Pass,Y,345520,"Cultivation, Politics And Social Service"
679,Rajya Sabha,Mizoram,2020-2026,K Vanlalvena,Mizo National Front,50,M,8836854,0,0,0,Graduate,Y,0,Agriculturist
680,Rajya Sabha,Bihar,2018-2024,Manoj Kumar Jha,RJD,50,M,8786985,663118,1,0,Doctorate,Y,1784800,Social Services and Teaching (Delhi University)
681,Lok Sabha,Uttar Pradesh,Basti,Harish Chandra Alias Harish Dwivedi,BJP,45,M,8662344,322490,5,1,Post Graduate,Y,2069874,Agriculture
682,Lok Sabha,West Bengal,Bishnupur,Saumitra Khan,BJP,38,M,8656777,1077120,6,19,12th Pass,Y,581030,Social Worker
683,Lok Sabha,Gujarat,Chhota Udaipur,Rathva Gitaben Vajesingbhai,BJP,47,F,8634660,0,0,0,12th Pass,Y,0,Housewife
684,Lok Sabha,Kerala,Thrissur,T. N. Prathapan,INC,58,M,8609349,2978120,7,1,12th Pass,Y,218771,Social Worker
685,Lok Sabha,Kerala,Ponnani,E T Mohammed Basheer,IUML,72,M,8103274,0,0,0,10th Pass,Y,712900,Member of Parliament
686,Lok Sabha,Odisha,Nabarangpur,Ramesh Chandra Majhi,BJD,40,M,8100600,771000,0,0,Graduate,Y,1915840,Cultivator and Business
687,Lok Sabha,West Bengal,Barrackpur,Arjun Singh,BJP,57,M,8055691,1100000,24,25,10th Pass,Y,887300,Business
688,Lok Sabha,Tamil Nadu,Tiruppur,Subbarayan.K,CPI,71,M,8035576,500000,0,0,10th Pass,Y,474721,Political Party Worker
689,Lok Sabha,Kerala,Ernakulam,Hibi Eden,INC,35,M,7908467,200000,7,2,Graduate,Y,150000,Social Worker
690,Rajya Sabha,Uttar Pradesh,2020-2026,Gita Chandra Prabha,BJP,51,F,7797511,0,0,0,Post Graduate,Y,0,Not Applicable
691,Lok Sabha,Chhattisgarh,Bastar,Deepak Kumar Baij,INC,38,M,7721293,1801236,1,1,Post Graduate,Y,492000,Farmer
692,Lok Sabha,Assam,Barpeta,Abdul Khaleque,INC,44,M,7398753,2703693,0,0,Post Graduate,Y,837182,MLA Of 44 Jania Under Assam Legislative Assembly
693,Rajya Sabha,Bihar,2022-2028,Shambhu Sharan Patel,BJP,40,M,7329000,1868831,1,0,Graduate,Y,498350,Agriculture & Business
694,Rajya Sabha,Assam,2022-2028,Rwngwra Narzary,United Peoples Party Liberal,52,M,7172754,110000,0,0,Graduate,Y,433520,Social Work
695,Lok Sabha,Chhattisgarh,Raigarh,Gomati,BJP,43,F,7043539,0,0,0,12th Pass,Y,311354,Agriculture
696,Lok Sabha,Gujarat,Bharuch,Mansukhbhai Vasava,BJP,61,M,6835957,0,0,0,Post Graduate,Y,444000,Farmer & Social Work
697,Lok Sabha,Bihar,Bhagalpur,Ajay Kumar Mandal,JD(U),41,M,6801126,5364747,0,0,8th Pass,Y,218260,"Politics, MLA"
698,Rajya Sabha,Bihar,2022-2024,Aneel Prasad Hegde,JD(U),61,M,6776921,0,0,0,12th Pass,Y,189350,"Social Worker, Political Activist, Agriculturist"
699,Lok Sabha,Tamil Nadu,Viluppuram,Ravikumar D,DMK,58,M,6509860,1369031,0,0,Doctorate,Y,422898,Advocate and Publisher (Prop: Manarkeni Publication)
700,Lok Sabha,Kerala,Palakkad,V K Sreekandan,INC,49,M,6356399,2709000,7,0,Graduate,Y,0,MUNICIPAL CONICELLOR SOCIAL ACTIVIST
701,Lok Sabha,Assam,Mangaldoi,Shri Dilip Saikia,BJP,45,M,6206286,0,0,0,Graduate,Y,605656,Business
702,Lok Sabha,West Bengal,Raiganj,Debasree Chaudhuri,BJP,48,F,6139123,823416,2,2,Post Graduate,Y,369336,Social Services
703,Lok Sabha,Kerala,Pathanamthitta,Anto Antony,INC,62,M,6075876,7723227,1,0,Graduate,Y,603343,Politician
704,Lok Sabha,Tamil Nadu,Karur,Jothimani S,INC,43,F,6046055,379000,0,0,Post Graduate,Y,52850,WRITER AND SOCIAL WORKER
705,Lok Sabha,West Bengal,Balurghat,Sukanta Majumdar,BJP,40,M,5825866,2168170,0,0,Doctorate,Y,465280,"Service (Asstt. Professor, University of Gour Banga)"
706,Rajya Sabha,Chhattisgarh,2020-2026,Phulo Devi Netam,INC,48,F,5488880,668154,0,0,12th Pass,Y,380865,Agriculture and MLA Pension
707,Rajya Sabha,Odisha,2020-2026,Mamata Mohanta,BJD,44,F,5449784,481068,0,0,Graduate,N,0,Social Worker
708,Lok Sabha,West Bengal,Bangaon,Shantanu Thakur,BJP,37,M,5265388,0,8,12,Graduate,Y,386992,Dharma Guru and Social Worker
709,Lok Sabha,Bihar,Valmiki Nagar : Bye Election On 07-11-2020,Sunil Kumar,JD(U),35,M,5261775,200623,0,0,Graduate,Y,341910,Agriculture
710,Rajya Sabha,Madhya Pradesh,2022-2028,Kavita Patidar,BJP,47,F,5066019,0,0,0,Post Graduate,Y,254550,Social Service
711,Lok Sabha,Bihar,Araria,Pradeep Kumar Singh,BJP,52,M,5010577,1159200,3,2,10th Pass,Y,612901,Tenancy & Politics
712,Lok Sabha,Jharkhand,Dumka,Sunil Soren,BJP,39,M,4737559,685516,0,0,12th Pass,Y,645000,Pension
713,Lok Sabha,Andhra Pradesh,"Tirupati: Bye Election On 17-,Apr-21",Maddila Gurumoorthy,YSRCP,35,M,4725044,0,0,0,Graduate Professional,Y,480000,"Agriculturist and Medical Practitioner (Physiotherapist), Previously worked as special officer for welfare of Differently Abled Transgender and Senior Citizens Government of AP"
714,Lok Sabha,Tamil Nadu,Nagapattinam,Selvaraj M,CPI,63,M,4572837,1251381,0,0,12th Pass,Y,0,Social Worker
715,Lok Sabha,West Bengal,Medinipur,Dilip Kumar Ghosh,BJP,54,M,4536462,0,14,3,10th Pass,Y,0,Party Whole Timer
716,Lok Sabha,Assam,Dibrugarh,Rameswar Teli,BJP,48,M,4370067,0,0,0,10th Pass,Y,1345784,Politician and Social Worker
717,Lok Sabha,Uttar Pradesh,Sant Kabir Nagar,Praveen Kumar Nishad,BJP,30,M,4300614,2326248,0,0,Graduate Professional,Y,233086,Agriculture
718,Lok Sabha,Rajasthan,Nagaur,Hanuman Beniwal,Rashtriya Loktantrik Party,47,M,4218568,0,0,0,Graduate Professional,Y,1259050,Agricuture & MLA Pension
719,Lok Sabha,Andhra Pradesh,Bapatla,Suresh Babu Nandigam,YSRCP,43,M,4158610,269000,0,0,8th Pass,Y,340270,"Photographer, Cultivation"
720,Rajya Sabha,Madhya Pradesh,2020-2026,Dr. Sumer Singh Solanki,BJP,48,M,3975453,971744,0,0,Doctorate,Y,991724,Social Worker
721,Lok Sabha,Madhya Pradesh,Dewas,Mahendra Singh Solanky,BJP,35,M,3812464,1832631,0,0,Graduate Professional,Y,799866,Retd Judge
722,Rajya Sabha,Punjab,2022-2028,Raghav Chadha,AAP,33,M,3699471,0,3,0,Graduate,Y,244600,"Chartered Accountant, Member of Legislative Assembly of Delhi"
723,Rajya Sabha,Uttar Pradesh,2018-2024,Sakaldeep,BJP,73,M,3553708,0,0,0,12th Pass,Y,0,Agriculture
724,Rajya Sabha,Madhya Pradesh,2018-2024,Rajmani Patel,INC,72,M,3457000,388807,0,0,Post Graduate,Y,468600,Farmer
725,Rajya Sabha,Andhra Pradesh,2020-2026,Pilli Subhaschandra Bose,YSRCP,69,M,3282877,0,0,0,Graduate,Y,322000,Deputy Chief Minister (Revenue) Govt. of AP
726,Lok Sabha,Rajasthan,Bharatpur,Ranjeeta Kumari,BJP,39,F,3117190,0,0,0,8th Pass,Y,0,House Wife
727,Lok Sabha,Telangana,Adilabad,Bapu Rao Soyam,BJP,52,M,3099414,231450,52,55,12th Pass,Y,0,Agriculture and Ex MLA Pension
728,Rajya Sabha,West Bengal,2023-2029,Dola Sen,AITC,56,F,3013321,0,0,0,Graduate,Y,1050000,POLITICAL WORKER
729,Lok Sabha,Rajasthan,Sikar,Sumedhanand Saraswati,BJP,67,M,2827638,2719583,0,0,Post Graduate,Y,1128120,"MLA Salary, Allowances"
730,Rajya Sabha,Maharashtra,2018-2024,V. Muraleedharan,BJP,59,M,2771646,0,7,3,Graduate,Y,0,Social Work
731,Lok Sabha,Odisha,Mayurbhanj,Bishweswar Tudu,BJP,54,M,2742000,400000,1,1,10th Pass,Y,919489,Social Worker
732,Lok Sabha,Rajasthan,Barmer,Kailash Choudhary,BJP,45,M,2402250,0,2,2,Graduate,Y,315450,Ex-MLA Pension
733,Lok Sabha,Telangana,Karimnagar,Bandi Sanjay Kumar,BJP,47,M,2270000,1341800,6,4,Post Graduate,Y,436800,Business
734,Lok Sabha,Haryana,Karnal,Sanjay Bhatia,BJP,51,M,2256739,500000,0,0,Graduate,Y,150000,Agriculture & Social Worker
735,Lok Sabha,West Bengal,Purulia,Jyotirmay Singh Mahato,BJP,34,M,2250540,456100,2,5,Graduate Professional,Y,427880,Business
736,Rajya Sabha,Kerala,2021-2027,V Sivadasan,CPI(M),41,M,2080070,880000,5,1,Doctorate,Y,200000,Social Worker
737,Lok Sabha,Tripura,Tripura East,Rebati Tripura,BJP,43,M,1948315,0,0,0,Post Graduate,Y,0,assistant Teacher Under the Grant-in- aid School Mahatma Gandhi Memorial XII School
738,Lok Sabha,Assam,Karimganj,Kripanath Mallah,BJP,46,M,1871040,0,0,0,Graduate,Y,567504,Social service
739,Rajya Sabha,Jharkhand,2018-2024,Samir Oraon,BJP,48,M,1869000,457683,0,0,12th Pass,Y,602187,Pensioner
740,Lok Sabha,Tamil Nadu,Madurai,Venkatesan S,CPI(M),49,M,1811456,0,0,0,12th Pass,Y,401670,"Communist party of India full time member, writer"
741,Lok Sabha,Andhra Pradesh,Hindupur,Kuruva Gorantla Madhav,YSRCP,50,M,1787356,730332,2,4,Graduate,Y,829510,Social Worker
742,Rajya Sabha,Madhya Pradesh,2022-2028,Sumitra Balmik,BJP,67,F,1785000,340000,0,0,Graduate,Y,0,Social Service
743,Lok Sabha,West Bengal,Alipurduars,John Barla,BJP,43,M,1418730,0,9,24,8th Pass,Y,323890,Tea Garden Worker
744,Lok Sabha,Karnataka,Bangalore South,Tejasvi Surya,BJP,28,M,1346593,0,0,0,Graduate Professional,Y,513220,Advocate
745,Lok Sabha,Odisha,Balasore,Pratap Chandra Sarangi,BJP,64,M,1346236,160,7,7,Graduate,Y,0,Social Worker
746,Lok Sabha,West Bengal,Bolpur,Asit Kumar Mal,AITC,63,M,1310691,0,0,0,10th Pass,Y,248080,Polticial Worker
747,Lok Sabha,Odisha,Kandhamal,Achyutananda Samanta,BJD,55,M,1244722,0,0,0,Doctorate,Y,2574130,"Social Activist, Member of Parliament (Rajya Sabha)"
748,Rajya Sabha,Kerala,2022-2028,A A Rahim,CPI(M),41,M,1162414,0,37,1,Post Graduate,N,0,Social Worker
749,Lok Sabha,Kerala,Alathur,Ramya Haridas,INC,32,F,1152816,0,3,0,10th Pass,N,0,NIL
750,Rajya Sabha,West Bengal,2023-2026,Saket Gokhale,AITC,36,M,1023349,513218,5,1,Graduate,Y,310610,"Researcher, RTI Activist, Social Worker"
751,Lok Sabha,Jammu & Kashmir,Ladakh,Tsering Namgyal,BJP,33,M,981904,0,1,0,Graduate,N,0,Chairman LAHDC Leh
752,Lok Sabha,Lakshadweep,Lakshadweep,Mohammed Faizal Pp,NCP,43,M,938641,0,2,4,Post Graduate,Y,600000,Social Worker (Public Representative)
753,Rajya Sabha,West Bengal,2023-2029,Prakash Chik Baraik,AITC,43,M,925000,0,1,0,Graduate,Y,443470,"Tea Garden Employee, Re-Seller of Seasonal crops"
754,Lok Sabha,Odisha,Aska,Pramila Bisoyi,BJD,70,F,732470,0,0,0,5th Pass,N,0,Cultivation & Social Serv.
755,Rajya Sabha,NCT of Delhi,2018-2024,Sanjay Singh,AAP,45,M,660513,38000,9,0,Others,Y,224,Social Worker
756,Lok Sabha,Tripura,Tripura West,Pratima Bhoumik,BJP,50,F,642398,0,0,0,Graduate,Y,0,Social Worker
757,Rajya Sabha,Manipur,2020-2026,Maharaja Sanajaoba Leishemba,BJP,48,M,548594,0,0,0,Graduate,Y,0,"Social Worker, Self Employed"
758,Lok Sabha,Sikkim,Sikkim,Indra Hang Subba,Sikkim Krantikari Morcha,30,M,478817,0,0,0,Post Graduate,Y,0,Social Worker
759,Lok Sabha,Madhya Pradesh,Bhopal,Sadhvi Pragya Singh Thakur,BJP,49,F,444224,0,1,5,Post Graduate,Y,0,Bhikshaatan / Dependent on society
760,Rajya Sabha,Punjab,2022-2028,Sant Balbir Singh,AAP,60,M,379972,0,0,0,12th Pass,Y,0,Social Worker
761,Lok Sabha,Rajasthan,Alwar,Mahant Balak Nath,BJP,35,M,352929,0,0,0,10th Pass,Y,0,No
762,Lok Sabha,Odisha,Keonjhar,Chandrani Murmu,BJD,25,F,340580,0,0,0,Graduate Professional,Y,0,Social Service
763,Lok Sabha,Andhra Pradesh,Araku,Goddeti Madhavi,YSRCP,26,F,141179,0,0,0,Graduate Professional,Y,0,Social Service
