id,house,state,constituency_term,name,party,age,gender,assets,liabilities,cases,serious_cases,education,pan,income,profession
376,Lok Sabha,Madhya Pradesh,Sidhi,Riti Pathak,BJP,41,F,51541791,505922,0,0,Post Graduate,Y,1056065,Agriculture And Social Worker
377,Lok Sabha,Uttar Pradesh,Lucknow,Rajnath Singh,BJP,67,M,51492709,0,0,0,Post Graduate,Y,1936664,Agriculture & Pension & Salary from MPs
378,Lok Sabha,Tamil Nadu,Tenkasi,Dhanush M Kumar,DMK,44,M,51360700,2896862,1,1,Post Graduate,Y,755338,Agriculture
379,Lok Sabha,Madhya Pradesh,Bhind,Sandhya Ray,BJP,45,F,51108660,13400000,0,0,Post Graduate,Y,420000,Agriculture & Honorarium
380,Lok Sabha,Maharashtra,Ratnagiri Sindhudurg,Vinayak Bhaurao Raut,Shiv Sena (Uddhav Balasaheb Thackeray),65,M,50660534,2830000,3,1,Post Graduate,Y,875450,Social Worker
381,Lok Sabha,Maharashtra,Osmanabad,Omprakash Bhupalsinh Alias Pavan Rajenimbalkar,Shiv Sena (Uddhav Balasaheb Thackeray),35,M,50299295,10045858,4,0,12th Pass,Y,1237526,Agriculture
382,Lok Sabha,Maharashtra,Gadchiroli Chimur,Ashok Mahadevrao Nete,BJP,55,M,50136369,15682840,0,0,12th Pass,Y,670913,"Member of Indian Parliament, Owner of Shivkrupa motor driving school"
383,Rajya Sabha,Tamil Nadu,2020-2026,Tiruchi Siva,DMK,64,M,49810877,2772000,0,0,Post Graduate,Y,1786990,Orator & Member of Parliament (Rajya Sabha)
384,Lok Sabha,Tamil Nadu,Virudhunagar,Manickam Tagore  B.,INC,44,M,49705799,3600203,1,0,Graduate Professional,Y,710345,Advocate Profession & Law Consultancy
385,Lok Sabha,Tamil Nadu,Nilgiris,A. Raja,DMK,55,M,49591024,1424914,6,4,Graduate Professional,Y,995310,ADVOCATE
386,Rajya Sabha,Goa,2023-2029,Sadanand Shet Tanawde,BJP,56,M,49038410,0,0,0,Post Graduate,Y,4758520,Business
387,Lok Sabha,Uttar Pradesh,Misrikh,Ashok Kumar,BJP,52,M,48771207,5735470,0,0,Post Graduate,Y,1494200,"Pension,Rent,Salary,,Agriculture"
388,Lok Sabha,West Bengal,Birbhum,Satabdi Roy (Banerjee),AITC,49,F,48652722,18604443,0,0,Graduate,Y,1409830,Performing Artist & Social Worker
389,Lok Sabha,Tamil Nadu,Dharmapuri,Dnv Senthilkumar.S,DMK,41,M,48477451,6053502,1,0,Post Graduate,Y,1737671,"Doctor ,agriculture"
390,Rajya Sabha,Sikkim,2018-2024,Hishey Lachungpa,SDF,50,M,48363273,29591329,0,0,Graduate,Y,0,Politician/Social Worker
391,Lok Sabha,Rajasthan,Kota,Om Birla,BJP,56,M,48347737,0,1,0,Post Graduate,Y,797609,Member of Parliment and Agriculture
392,Lok Sabha,Rajasthan,Udaipur,Arjunlal Meena,BJP,54,M,48196946,15602872,0,0,Post Graduate,Y,635509,Salary & Allowances From Lok Sabha Secretariat & Income From Agriculture
393,Lok Sabha,Tamil Nadu,Kancheepuram,Selvam.G,DMK,44,M,48172936,0,0,0,Post Graduate,Y,354956,Agriculture
394,Lok Sabha,Maharashtra,Hatkanangle,Dhairyashil Sambhajirao Mane,SHS,38,M,47771462,41599959,0,0,Graduate,Y,448587,Agriculturist and Business
395,Lok Sabha,Rajasthan,Jhunjhunu,Narendra Kumar,BJP,58,M,47474109,3278401,1,0,Graduate,Y,333190,Politician & Agriculture
396,Rajya Sabha,Andhra Pradesh,2020-2026,Mopidevi Venkata Ramana,YSRCP,55,M,47406223,26100000,2,1,Graduate,Y,1255340,Cabinet Minister in Govt. of Andhra Pradesh
397,Lok Sabha,Gujarat,Patan,Dabhi Bharatsinhji Shankarji,BJP,64,M,47373221,5613860,0,0,Graduate,Y,971165,Social Worker/ Farming
398,Lok Sabha,Bihar,Madhubani,Ashok Kumar Yadav,BJP,49,M,46699125,7892847,1,9,Doctorate,Y,901125,"Agriculture & Pension, Salary"
399,Lok Sabha,Uttar Pradesh,Saharanpur,Haji Fazlur Rehman,BSP,62,M,46146135,60000,0,0,Graduate,Y,4226800,Business
400,Lok Sabha,Chhattisgarh,Raipur,Sunil Kumar Soni,BJP,57,M,46068126,2482214,0,0,Graduate,Y,466877,Rukmini Jewellers (Proprietor) & Agriculture
401,Rajya Sabha,Karnataka,2022-2028,Jairam Ramesh,INC,68,M,45696347,3547601,0,0,Post Graduate,Y,2473350,Economist
402,Lok Sabha,Uttar Pradesh,Bahraich,Akshayabar Lal,BJP,73,M,45691463,3028133,0,0,10th Pass,Y,421771,Agriculture & Interest Salary
403,Rajya Sabha,Odisha,2022-2028,Sasmit Patra,BJD,43,M,45302610,0,0,0,Doctorate,Y,1014000,"Social Worker, Advocate, Management Professional & Academician"
404,Lok Sabha,Uttar Pradesh,Kheri,Ajay Kumar,BJP,60,M,45295455,0,1,1,Graduate Professional,Y,885962,Agriculture & Business
405,Rajya Sabha,Jharkhand,2020-2026,Deepak Prakash,BJP,59,M,45279800,639833,1,0,Post Graduate,Y,1197414,Social Service and Self-Employed
406,Lok Sabha,Karnataka,Bagalkot,Gaddigoudar Parvatagouda Chandanagouda,BJP,68,M,43980663,7987991,0,0,Graduate Professional,Y,393670,Agriculture & Loyer
407,Rajya Sabha,Andhra Pradesh,2018-2024,Kanakamedala Ravindra Kumar,TDP,61,M,43965970,0,0,0,Post Graduate,Y,1136979,Senior Advocate
408,Rajya Sabha,Haryana,2022-2028,Krishan Lal Panwar,BJP,64,M,43844119,0,0,0,12th Pass,Y,3182770,Pensioner (Ex-MLA)
409,Rajya Sabha,Uttar Pradesh,2018-2024,Kanta Kadam,BJP,53,F,43474756,2736967,0,0,12th Pass,Y,0,Politician
410,Rajya Sabha,Uttarakhand,2020-2026,Naresh Bansal,BJP,65,M,43463636,0,0,0,Post Graduate,Y,400164,Pension
411,Lok Sabha,Uttar Pradesh,Shahjahanpur,Arun Kumar Sagar,BJP,42,M,43448049,1179697,1,1,12th Pass,Y,409254,Agriculture & Business
412,Lok Sabha,Bihar,Karakat,Mahabali Singh,JD(U),64,M,43442051,3000000,3,0,8th Pass,Y,1475504,Agriculture & Social Worker
413,Lok Sabha,Maharashtra,Shirur,Amol Ramsing Kolhe,NCP,38,M,43351521,1488116,0,0,Graduate Professional,Y,1137770,Business
414,Lok Sabha,Madhya Pradesh,Damoh,Prahalad Singh Patel,BJP,59,M,43292483,4230614,0,0,Graduate Professional,Y,618660,Agriculture and Member of Parliament
415,Lok Sabha,Madhya Pradesh,Jabalpur,Rakesh Singh,BJP,56,M,43134351,1387000,1,0,Graduate,Y,639330,Farmer and Member of Parliament (LokSabha)
416,Lok Sabha,Tamil Nadu,Erode,Ganeshamurthi A,DMK,72,M,43110000,2060000,0,0,Graduate,Y,493176,Agriculture
417,Rajya Sabha,Punjab,2022-2028,Sandeep Kumar Pathak,AAP,42,M,43098366,18400000,0,0,Doctorate,Y,2316928,Teaching & Research (Previously)
418,Lok Sabha,Uttar Pradesh,Firozabad,Dr. Chandra Sen Jadon,BJP,68,M,42872395,0,0,0,Graduate Professional,Y,693041,Doctor and Agriculture
419,Rajya Sabha,Maharashtra,2022-2028,Mohd. Imaran Khan,INC,34,M,42866886,8848252,4,2,Post Graduate,Y,499400,Stage Program of Poetry (Shayar)
420,Lok Sabha,Haryana,Sirsa,Sunita Duggal,BJP,51,F,42596349,2500000,0,0,Post Graduate,Y,1477069,Politician Ex- Chairperson Haryana Schedule Caste Finance & Development Corportation
421,Lok Sabha,West Bengal,Dum Dum,Sougata Ray,AITC,71,M,42518790,0,1,0,Post Graduate,Y,2754700,Retired College Teacher
422,Lok Sabha,Tamil Nadu,Thanjavur,Palanimanickam.S .S,DMK,68,M,42452076,2368600,0,0,Graduate Professional,Y,370174,Agriculture
423,Lok Sabha,Madhya Pradesh,Ratlam,Guman Singh Damor,BJP,62,M,42072262,4890940,0,0,Graduate Professional,Y,977759,"Income From Pension, Amount to be received by the MLA"
424,Lok Sabha,Gujarat,Banaskantha,Parbatbhai Patel,BJP,70,M,41819177,4500000,0,0,Graduate Professional,Y,1048301,Farming And Social Work
425,Lok Sabha,Madhya Pradesh,Satna,Ganesh Singh,BJP,56,M,41719076,0,2,5,Post Graduate,Y,756943,Politics & Agriculture
426,Lok Sabha,Haryana,Rohtak,Arvind Kumar Sharma,BJP,56,M,41079284,16778090,0,0,Post Graduate,Y,2372044,Dental Surgeon/Pensioner
427,Lok Sabha,Maharashtra,Parbhani,Jadhav Sanjay (Bandu) Haribhau,Shiv Sena (Uddhav Balasaheb Thackeray),52,M,41040011,4519583,6,0,10th Pass,Y,1794322,Farming & Milk Business
428,Lok Sabha,Bihar,Purnia,Santosh Kumar,JD(U),42,M,41036294,2500000,1,0,12th Pass,Y,671957,Agriculture
429,Lok Sabha,Uttar Pradesh,Unnao,Swami Sachchidanand Hari Sakshi,BJP,63,M,40886941,699025,4,14,Doctorate,Y,724714,"Pensioner, Agriculture, Education Institute, Donation Etc."
430,Lok Sabha,West Bengal,Barasat,Dr. Kakoli Ghoshdastidar,AITC,60,F,40531018,1496059,2,0,Post Graduate,Y,1520430,Doctor
431,Lok Sabha,Uttar Pradesh,Badaun,Sangh Mitra Maurya,BJP,34,F,40372093,0,2,2,Graduate Professional,Y,674580,Politics
432,Lok Sabha,Madhya Pradesh,Rajgarh,Rodmal Nagar,BJP,58,M,40198295,3921362,0,0,Graduate,Y,1936920,"Agriculture, Salary & Allowances"
433,Lok Sabha,Bihar,Buxar,Ashwini Kumar Choubey,BJP,66,M,40183612,1350667,3,2,Graduate,Y,744866,Social Worker & Politics & M.P.
434,Lok Sabha,Karnataka,Bellary,Y. Devendrappa,BJP,67,M,40107878,250000,0,0,5th Pass,Y,0,Agricultural
435,Lok Sabha,Odisha,Jagatsinghpur,Rajashree Mallick,BJD,55,F,40023972,1433305,0,0,Graduate Professional,Y,420000,MLA & Acting & Govt. Doctor(Retd. Voluntarily on 2014 Onwards)
436,Rajya Sabha,Kerala,2021-2027,John Brittas,CPI(M),54,M,39902687,4468518,6,0,Post Graduate,Y,1521880,Media Person
437,Rajya Sabha,Bihar,2020-2026,Ram Nath Thakur,JD(U),67,M,39593754,0,0,0,12th Pass,Y,997920,Social Service & Poltical Activisit
438,Lok Sabha,Odisha,Bhadrak,Manjulata Mandal,BJD,42,F,39417891,8958149,0,0,Graduate,Y,1779850,Business
439,Lok Sabha,Bihar,Sasaram,Chhedi Paswan,BJP,63,M,37786578,2214842,4,3,Post Graduate,Y,622789,nan
440,Lok Sabha,West Bengal,Tamluk,Dibyendu Adhikari,AITC,42,M,37687867,8397501,1,0,Graduate,Y,1005867,Business(Genral Order Supplier & Transport)
