mp_index,mp_name,nature_membership,term_start_date,term_end_date,term,pc_name,state,mp_political_party,mp_gender,educational_qualification,educational_qualification_details,mp_age,ag_debates,ag_private_member_bills,ag_questions,avg_attendance,mp_note,ag_national_average_debate,ag_national_average_pmb,ag_national_average_questions,avg_attendance_national_average,ag_state_average_debate,ag_state_average_pmb,ag_state_average_questions,avg_attendance_state_average,mp_house
900364,Penumalli Madhu,Elected,,2010-06-21,1,,0,11,1,Under Graduate,,76,8.0,0.0,165.0,0.858823529, Data corresponds to the period from 01-06-2009 to 09-08-2024.,0.04177060442622908,0.08720447461740635,0.09784992022572968,2.220446049250313e-16,0.01903791914675033,0.02314316470373366,0.10463727352297175,0.4992240881851031,0
900182,Janeshwar Mishra,Elected,2006-03-04,2010-01-22,6,,28,37,1,Professional Graduate,"B.A., LL.B. Educated at Ballia and Allahabad University",91,4.0,0.0,38.0,0.981132075, Data corresponds to the period from 01-06-2009 to 09-08-2024.,0.028337473009793765,0.05220817525501591,0.06201527259722685,2.220446049250313e-16,0.011458006893877512,0.006085280764197145,0.030498270272815826,0.7698466304986602,0
900315,N. Janardhana Reddy,Elected,2009-01-04,2014-05-09,6,,0,14,1,Professional Graduate,"B.A., B.Ed., Trained in Basic Education (a Gandhian Concept) ; Educated at V.R. College, Government College of Education, Nellore and Government College of Basic Education, Pentapadu, West Godavari District (Andhra Pradesh)",89,5.0,0.0,7.0,0.547904192, Data corresponds to the period from 01-06-2009 to 09-08-2024.,0.16549539764768584,0.27589810041800295,0.36206158717115033,2.220446049250313e-16,0.05759389243149959,0.035522066738046046,0.36338115679206967,0.4992240881851031,0
900470,Salim Ansari,Elected,2010-05-07,2016-07-04,1,,28,5,1,Post Graduate,"B.A., M.A. ; Educated at D.C.S.K.P.G. College, Mau (Gorakhpur University)",61,19.0,0.0,247.0,0.995271868, Data corresponds to the period from 01-06-2009 to 09-08-2024.,0.26886211846394004,0.3408647335299648,0.41110236733948513,2.220446049250313e-16,0.13822748440532626,0.04823084134501366,0.21640040677668096,0.7698466304986602,0
900243,L. Hanumanthaiah,Elected,2018-03-04,2024-04-02,1,,12,14,1,Doctorate,"B.Sc., M.A., Ph.D. Educated at Government Science College, Bangalore, Post Graduate Studies in Kannada Literature at Bangalore University; Ph.D. from Mysore University",66,138.0,0.0,400.0,0.925233645, Data corresponds to the period from 01-06-2009 to 09-08-2024.,0.4840999983147432,0.40324123155547126,0.32707596182077514,2.220446049250313e-16,0.15073441130184295,0.011253547330341729,0.2819946675143484,0.4134315919373739,0
900746,Ramji Lal Suman,Elected,2024-03-04,,1,,28,37,1,Information not available,Information not available,Info Not Available,8.0,0.0,36.0,1.0, Data corresponds to the period from 01-06-2009 to 09-08-2024.,0.08567255958557322,0.018211938955902236,0.014661988098197756,2.220446049250313e-16,0.01982936702691367,0.04196167317125347,0.010740629485617686,0.7698466304986602,0
900126,Deepender Singh,Elected,2020-10-04,2024-06-04,1,,8,14,1,Professional Post Graduate,"B.Tech., M.B.A. Educated at Birla Institute, M.D. University, Rohtak (Haryana) and Kelley School of Business, Indiana University, Bloomington, U.S.A.",46,10.0,0.0,159.0,0.868852459, Data corresponds to the period from 01-06-2009 to 09-08-2024.,0.32648687226491285,0.25085914659344694,0.2026771377344891,2.220446049250313e-16,0.06184805479420478,0.04196167317125347,0.09946737598556733,0.8760116688134363,0
900499,Shamsher Singh Dullo,Elected,2016-10-04,2022-04-09,1,,22,14,1,Professional Graduate,"B.A., LLB.",76,54.0,0.0,143.0,0.866120219, Data corresponds to the period from 01-06-2009 to 09-08-2024.,0.45395512923852216,0.35043391049897354,0.3845625528694514,2.220446049250313e-16,0.09954975407845505,0.017376595414237066,0.2355450334055328,0.5844174733438972,0
900326,Naranbhai Jemlabhai Rathwa,Elected,2018-03-04,2024-04-02,1,,7,14,1,Graduate,"B.A., M.S.W. Educated at S.N. College, Gujarat University, Ahmedabad and Gujarat Vidyapith, Ahmedabad (Gujarat)",71,16.0,0.0,348.0,0.91318328, Data corresponds to the period from 01-06-2009 to 09-08-2024.,0.4840999983147432,0.40324123155547126,0.32707596182077514,2.220446049250313e-16,0.1306320710556193,0.002960172238934767,0.20601317132302685,0.8104578100014947,0
900487,Sarojini Hembram,Elected,2014-03-04,2020-04-02,1,,20,8,0,Post Graduate,"Post Graduate (Masters in Music) Educated at K.N.G. High School, Baripada and Utkal Sangeet Mahavidyalaya, Bhubaneswar",65,68.0,0.0,406.0,0.659313725, Data corresponds to the period from 01-06-2009 to 09-08-2024.,0.41713799416474234,0.43200559273247013,0.41395092872381517,2.220446049250313e-16,0.24264113360152928,0.03767491927838886,0.30680596142950545,0.5489634580367144,0
