mp_name,nature_membership,term_start_date,term_end_date,pc_name,state,mp_political_party,mp_gender,educational_qualification,educational_qualification_details,mp_age,debates,private_member_bills,questions,attendance,mp_note
Bishnu Pada Ray,Elected,09-06-2024,In Office,Andaman and Nicobar Islands,Andaman & Nicobar Islands,Bharatiya Janata Party,Male,Graduate,B.Com. (Hons.) from University of Calcutta in year 1973,74,2.0,0.0,2.0,, Data corresponds to the period from 24-06-2024 to 09-08-2024. (Attendance not available)
Delkar Kalaben Mohanbhai,Elected,09-06-2024,In Office,Dadra and Nagar Haveli,Dadra and Nagar Haveli,Bharatiya Janata Party,Female,Graduate,"B.A. from Veer Narmad South Gujarat University, (Extended Mode) in year 2007-08",52,5.0,0.0,25.0,, Data corresponds to the period from 24-06-2024 to 09-08-2024. (Attendance not available)
Patel Umeshbhai Babubhai,Elected,09-06-2024,In Office,Daman and Diu,Dadra and Nagar Haveli,Independent,Male,Graduate,"BCom., Janardhan Rai Nagar, Rajasthan Vidyapeeth, Rajasthan",48,10.0,0.0,12.0,, Data corresponds to the period from 24-06-2024 to 09-08-2024. (Attendance not available)
Manoj Tiwari,Elected,09-06-2024,In Office,North East Delhi,Delhi,Bharatiya Janata Party,Male,Post Graduate and above,"MPEd., Banaras Hindu University, Varanasi, 1994",53,4.0,0.0,27.0,, Data corresponds to the period from 24-06-2024 to 09-08-2024. (Attendance not available)
Ramvir Singh Bidhuri,Elected,09-06-2024,In Office,South Delhi,Delhi,Bharatiya Janata Party,Male,Graduate,"Bachelor of Arts, Deshbandhu Gupta College, Delhi University, 1973",71,2.0,0.0,25.0,, Data corresponds to the period from 24-06-2024 to 09-08-2024. (Attendance not available)
Yogender Chandolia,Elected,09-06-2024,In Office,North West Delhi,Delhi,Bharatiya Janata Party,Male,Graduate,"BA Political Science and History, Swami Vivekanand Subharti University, Meerut, UP, 2022",62,5.0,0.0,18.0,, Data corresponds to the period from 24-06-2024 to 09-08-2024. (Attendance not available)
Ve Vaithilingam,Elected,09-06-2024,In Office,Puducherry,Puducherry,Indian National Congress,Male,Graduate,B.Com. from Madurai Kamaraj University by Distance Education in year 1968-71,73,5.0,0.0,6.0,, Data corresponds to the period from 24-06-2024 to 09-08-2024. (Attendance not available)
B K Parthasarathi,Elected,09-06-2024,In Office,Hindupur,Andhra Pradesh,Telugu Desam Party,Male,Graduate,"B.A., S.A.P.S. College, Bangalore University, Year 1982",64,0.0,0.0,23.0,, Data corresponds to the period from 24-06-2024 to 09-08-2024. (Attendance not available)
Mala Roy,Elected,09-06-2024,In Office,Kolkata Dakshin,West Bengal,All India Trinamool Congress,Female,Graduate,"BA, Calcutta University, 1976",66,0.0,0.0,24.0,, Data corresponds to the period from 24-06-2024 to 09-08-2024. (Attendance not available)
Amarsing Tisso,Elected,09-06-2024,In Office,Diphu,Assam,Bharatiya Janata Party,Male,Upto Higher Secondary,Senior School Secondary Examination (SSSE) from NIOS in 1995,56,0.0,0.0,2.0,, Data corresponds to the period from 24-06-2024 to 09-08-2024. (Attendance not available)
Ajay Kumar Mandal,Elected,09-06-2024,In Office,Bhagalpur,Bihar,Janata Dal (United),Male,Upto Higher Secondary,"9th Passed from Shri Sant High School, Ghogha, Bhagalpur",46,0.0,0.0,16.0,, Data corresponds to the period from 24-06-2024 to 09-08-2024. (Attendance not available)
Ashok Kumar Yadav,Elected,09-06-2024,In Office,Madhubani,Bihar,Bharatiya Janata Party,Male,Post Graduate and above,"Ph.D. from Lalit Narayan Mithila University, Darbhanga, Bihar in year 2006",54,0.0,0.0,1.0,, Data corresponds to the period from 24-06-2024 to 09-08-2024. (Attendance not available)
Giridhari Yadav,Elected,09-06-2024,In Office,Banka,Bihar,Janata Dal (United),Male,Post Graduate and above,M.A. (History) from Dr. Hari Singh Gour University in year 1989,63,0.0,0.0,17.0,, Data corresponds to the period from 24-06-2024 to 09-08-2024. (Attendance not available)
Chintamani Maharaj,Elected,09-06-2024,In Office,Surguja,Chhattisgarh,Bharatiya Janata Party,Male,Upto Higher Secondary,"12th Passed from Chhattisgarh Sanskrit Vidyamandalam, Raipur, Chhattisgarh in year 2014",56,0.0,0.0,10.0,, Data corresponds to the period from 24-06-2024 to 09-08-2024. (Attendance not available)
Chandubhai Chhaganbhai Shihora,Elected,09-06-2024,In Office,Surendranagar,Gujarat,Bharatiya Janata Party,Male,Upto Higher Secondary,12th Passed from Gujarat Secondary Education Board in year 1981,62,0.0,0.0,2.0,, Data corresponds to the period from 24-06-2024 to 09-08-2024. (Attendance not available)
Devusinh Chauhan,Elected,09-06-2024,In Office,Kheda,Gujarat,Bharatiya Janata Party,Male,Graduate,Bachelor of Vocation (Journalism and Mass Communication) from SP University in 2023,59,0.0,0.0,1.0,, Data corresponds to the period from 24-06-2024 to 09-08-2024. (Attendance not available)
Govind Makthappa Karjol,Elected,09-06-2024,In Office,Chitradurga,Karnataka,Bharatiya Janata Party,Male,Upto Higher Secondary,"SSLC, SS High School, Vijayapura, Year Passed: 1970-71",73,0.0,0.0,14.0,, Data corresponds to the period from 24-06-2024 to 09-08-2024. (Attendance not available)
P C Mohan,Elected,09-06-2024,In Office,Bangalore Central,Karnataka,Bharatiya Janata Party,Male,Upto Higher Secondary,"Second year Pre-University Course from Vijaya College, Jayanagar, Bengaluru in year 1981",61,0.0,0.0,13.0,, Data corresponds to the period from 24-06-2024 to 09-08-2024. (Attendance not available)
Bharat Singh Kushwah,Elected,09-06-2024,In Office,Gwalior,Madhya Pradesh,Bharatiya Janata Party,Male,Upto Higher Secondary,"Higher Secondary from Madhya Pradesh Education Board, Bhopal in year 1990",53,0.0,0.0,2.0,, Data corresponds to the period from 24-06-2024 to 09-08-2024. (Attendance not available)
Faggan Singh Kulaste,Elected,09-06-2024,In Office,Mandla,Madhya Pradesh,Bharatiya Janata Party,Male,Post Graduate and above,"M.A. from Harisingh Gour University, Sagar, M.P in year 1982",65,0.0,0.0,3.0,, Data corresponds to the period from 24-06-2024 to 09-08-2024. (Attendance not available)
Gyaneshwar Patil,Elected,09-06-2024,In Office,Khandwa,Madhya Pradesh,Bharatiya Janata Party,Male,Upto Higher Secondary,"BCom second year, IGNOU",55,0.0,0.0,16.0,, Data corresponds to the period from 24-06-2024 to 09-08-2024. (Attendance not available)
Mahendra Singh Solanky,Elected,09-06-2024,In Office,Dewas,Madhya Pradesh,Bharatiya Janata Party,Male,Graduate,"L.L.B. from Indore Institute of Law, Devi Ahilya University, Indore, in 2006",40,0.0,0.0,20.0,, Data corresponds to the period from 24-06-2024 to 09-08-2024. (Attendance not available)
Aashtikar Patil Nagesh Bapurao,Elected,09-06-2024,In Office,Hingoli,Maharashtra,Shiv Sena (Uddhav Balasaheb Thackeray),Male,Graduate,"B.Com. from Dr. Babasaheb Ambedkar Marathwada Vidyapeeth, Aurangabad in year 1993-94",52,0.0,0.0,33.0,, Data corresponds to the period from 24-06-2024 to 09-08-2024. (Attendance not available)
Chavan Vasantrao Balwantrao,Elected,09-06-2024,In Office,Nanded,Maharashtra,Indian National Congress,Male,Upto Higher Secondary,"B.Com. (Part-I) from People's College, Nanded, Marathwada University, Aurangabad in year 1971-72",70,0.0,0.0,17.0,, Data corresponds to the period from 24-06-2024 to 09-08-2024. (Attendance not available)
Naba Charan Majhi,Elected,09-06-2024,In Office,Mayurbhanj,Odisha,Bharatiya Janata Party,Male,Graduate,"BA, Utkal University, Rairangpur College, Rairangpur",63,0.0,0.0,23.0,, Data corresponds to the period from 24-06-2024 to 09-08-2024. (Attendance not available)
Raj Kumar Chabbewal,Elected,09-06-2024,In Office,Hoshiarpur,Punjab,Aam Aadmi Party,Male,Post Graduate and above,"MD(Radio Diagnosis), Guru Nanak Dev University, Medical College, Amritsar, 1998",55,0.0,0.0,4.0,, Data corresponds to the period from 24-06-2024 to 09-08-2024. (Attendance not available)
Sukhjinder Singh Randhawa,Elected,09-06-2024,In Office,Gurdaspur,Punjab,Indian National Congress,Male,Graduate,"Under Graduate, S.D. College, Chandigarh, Punjab University, Chandigarh, 1979",65,0.0,0.0,5.0,, Data corresponds to the period from 24-06-2024 to 09-08-2024. (Attendance not available)
Ganapathy Rajkumar P,Elected,09-06-2024,In Office,Coimbatore,Tamil Nadu,Dravida Munnetra Kazhagam,Male,Post Graduate and above,"Ph.D.(Journalism and Mass Communication) from Bharathiyar University, Coimbatore in year 2015",59,0.0,0.0,2.0,, Data corresponds to the period from 24-06-2024 to 09-08-2024. (Attendance not available)
Matheswaran V S,Elected,09-06-2024,In Office,Namakkal,Tamil Nadu,Dravida Munnetra Kazhagam,Male,Upto Higher Secondary,"10th Passed from Govt. Higher Secondary School, Muthukapatty in year 1988",52,0.0,0.0,16.0,, Data corresponds to the period from 24-06-2024 to 09-08-2024. (Attendance not available)
T R Baalu,Elected,09-06-2024,In Office,Sriperumbudur,Tamil Nadu,Dravida Munnetra Kazhagam,Male,Graduate,B.Sc. from University of Madras in year 1989,83,0.0,0.0,14.0,, Data corresponds to the period from 24-06-2024 to 09-08-2024. (Attendance not available)
Arun Govil,Elected,09-06-2024,In Office,Meerut,Uttar Pradesh,Bharatiya Janata Party,Male,Graduate,"B.Sc. from G.F. College, Shahjahanpur, Agra University in year 1972",72,0.0,0.0,3.0,, Data corresponds to the period from 24-06-2024 to 09-08-2024. (Attendance not available)
Trivendra Singh Rawat,Elected,09-06-2024,In Office,Haridwar,Uttarakhand,Bharatiya Janata Party,Male,Post Graduate and above,Post Graduate from P.G. College Jaiharikhal in year 1983,63,0.0,0.0,2.0,, Data corresponds to the period from 24-06-2024 to 09-08-2024. (Attendance not available)
Adhikari Deepak Dev,Elected,09-06-2024,In Office,Ghatal,West Bengal,All India Trinamool Congress,Male,Upto Higher Secondary,"Diploma in Computer Technology, BV. Jawaharlal Nehru Institute of Technology (Bharatiya Vidyapeeth), 2003",41,0.0,0.0,16.0,, Data corresponds to the period from 24-06-2024 to 09-08-2024. (Attendance not available)
Jagannath Sarkar,Elected,09-06-2024,In Office,Ranaghat,West Bengal,Bharatiya Janata Party,Male,Graduate,Bachelor of Physical Education from University of Kalyani in 1986-87,61,0.0,0.0,4.0,, Data corresponds to the period from 24-06-2024 to 09-08-2024. (Attendance not available)
Jyotirmay Singh Mahato,Elected,09-06-2024,In Office,Purulia,West Bengal,Bharatiya Janata Party,Male,Graduate,"LL.B., Rourkela Law College, Sambalpur University, 2012",39,0.0,0.0,9.0,, Data corresponds to the period from 24-06-2024 to 09-08-2024. (Attendance not available)
Saleng A Sangma,Elected,09-06-2024,In Office,Tura,Meghalaya,Indian National Congress,Male,Post Graduate and above,P.G. (Peace Study from Martin Luther University in year 2009,46,2.0,0.0,0.0,, Data corresponds to the period from 24-06-2024 to 09-08-2024. (Attendance not available)
Durai Vaiko,Elected,09-06-2024,In Office,Tiruchirappalli,Tamil Nadu,Marumalarchi Dravida Munnetra Kazhagam,Male,Post Graduate and above,"MBA, PSG College of Technology, Coimbatore, April 1994",52,4.0,0.0,0.0,, Data corresponds to the period from 24-06-2024 to 09-08-2024. (Attendance not available)
Bijuli Kalita Medhi,Elected,09-06-2024,In Office,Guwahati,Assam,Bharatiya Janata Party,Female,Post Graduate and above,M.A. in Philosophy from University of Gauhati in 2002,45,2.0,0.0,0.0,, Data corresponds to the period from 24-06-2024 to 09-08-2024. (Attendance not available)
Joyanta Basumatary,Elected,09-06-2024,In Office,Kokrajhar,Assam,"United Peoples Party, Liberal",Male,Graduate,B.A. from Bongaigaon College in 1999,48,8.0,0.0,0.0,, Data corresponds to the period from 24-06-2024 to 09-08-2024. (Attendance not available)
Pradan Baruah,Elected,09-06-2024,In Office,Lakhimpur,Assam,Bharatiya Janata Party,Male,Upto Higher Secondary,"Diploma (Mech. Engg.) from Dibrugarh Polytechnic, Assam in year 1985",59,1.0,0.0,0.0,, Data corresponds to the period from 24-06-2024 to 09-08-2024. (Attendance not available)
Bhumare Sandipanrao Asaram,Elected,09-06-2024,In Office,Aurangabad,Maharashtra,Shiv Sena,Male,Upto Higher Secondary,"11th Class from Institute College, Paithan, Maharashtra in year 1981",62,1.0,0.0,0.0,, Data corresponds to the period from 24-06-2024 to 09-08-2024. (Attendance not available)
Manoj Kumar,Elected,09-06-2024,In Office,Sasaram,Bihar,Indian National Congress,Male,Graduate,"Graduate, Vir Kunwar Singh University, Arrah, Bihar, 2003",41,1.0,0.0,0.0,, Data corresponds to the period from 24-06-2024 to 09-08-2024. (Attendance not available)
Radha Mohan Singh,Elected,09-06-2024,In Office,Purvi Champaran,Bihar,Bharatiya Janata Party,Male,Graduate,"BA, Munshi Singh College, Motihari, Bihar University, 1971",74,2.0,0.0,0.0,, Data corresponds to the period from 24-06-2024 to 09-08-2024. (Attendance not available)
Veena Devi,Elected,09-06-2024,In Office,Vaishali,Bihar,Lok Janshakti Party (Ram Vilas),Female,Upto Higher Secondary,"Matric (equivalent) from Hindi Sahitya Sammelan, Allahabad in year 2004",57,1.0,0.0,0.0,, Data corresponds to the period from 24-06-2024 to 09-08-2024. (Attendance not available)
Kamlesh Jangde,Elected,09-06-2024,In Office,Janjgir-Champa,Chhattisgarh,Bharatiya Janata Party,Female,Post Graduate and above,"M.A. (Hindi Literature) from Bilaspur University, Chhattisgarh in year 2017",46,1.0,0.0,0.0,, Data corresponds to the period from 24-06-2024 to 09-08-2024. (Attendance not available)
Mahesh Kashyap,Elected,09-06-2024,In Office,Bastar,Chhattisgarh,Bharatiya Janata Party,Male,Upto Higher Secondary,"9th Passed from National Higher Secondary School, Jagdalpur in year 1996",48,2.0,0.0,0.0,, Data corresponds to the period from 24-06-2024 to 09-08-2024. (Attendance not available)
Radheshyam Rathiya,Elected,09-06-2024,In Office,Raigarh,Chhattisgarh,Bharatiya Janata Party,Male,Upto Higher Secondary,12th Passed,52,1.0,0.0,0.0,, Data corresponds to the period from 24-06-2024 to 09-08-2024. (Attendance not available)
Santosh Pandey,Elected,09-06-2024,In Office,Rajnandgaon,Chhattisgarh,Bharatiya Janata Party,Male,Graduate,"B.A.L.L.B. from Pt. Kishorilal Shukla Vidhi Mahavidyalaya, Rajnandgaon, Pandit Ravishankar Shukla University in year 1997",56,3.0,0.0,0.0,, Data corresponds to the period from 24-06-2024 to 09-08-2024. (Attendance not available)
Hemang Joshi,Elected,09-06-2024,In Office,Vadodara,Gujarat,Bharatiya Janata Party,Male,Post Graduate and above,Master of Human Resource Management from University of Baroda in 2016,33,1.0,0.0,0.0,, Data corresponds to the period from 24-06-2024 to 09-08-2024. (Attendance not available)
Mansukhbhai Dhanjibhai Vasava,Elected,09-06-2024,In Office,Bharuch,Gujarat,Bharatiya Janata Party,Male,Post Graduate and above,"M.S.W from Gujarat Vidyapith in 1982, B.A. from South Gujarat University in 1977-78",67,3.0,0.0,0.0,, Data corresponds to the period from 24-06-2024 to 09-08-2024. (Attendance not available)
Rajpalsinh Mahendrasinh Jadav,Elected,09-06-2024,In Office,Panchmahal,Gujarat,Bharatiya Janata Party,Male,Graduate,"B.A. 2nd Year Passed from Gujarat University in 2003, 12th Passed in 2000",42,2.0,0.0,0.0,, Data corresponds to the period from 24-06-2024 to 09-08-2024. (Attendance not available)
Aga Syed Ruhullah Mehdi,Elected,09-06-2024,In Office,Srinagar,Jammu and Kashmir,Jammu and Kashmir National Conference,Male,Upto Higher Secondary,B.A. IInd Year,48,5.0,0.0,0.0,, Data corresponds to the period from 24-06-2024 to 09-08-2024. (Attendance not available)
Kali Charan Munda,Elected,09-06-2024,In Office,Khunti,Jharkhand,Indian National Congress,Male,Upto Higher Secondary,"Inter, Ranchi University, 1982",62,4.0,0.0,0.0,, Data corresponds to the period from 24-06-2024 to 09-08-2024. (Attendance not available)
C N Manjunath,Elected,09-06-2024,In Office,Bangalore Rural,Karnataka,Bharatiya Janata Party,Male,Post Graduate and above,M.D. (Cardiology) from Kasturba Medical College of Mangalore in year 1988,67,4.0,0.0,0.0,, Data corresponds to the period from 24-06-2024 to 09-08-2024. (Attendance not available)
G Kumar Naik,Elected,09-06-2024,In Office,Raichur,Karnataka,Indian National Congress,Male,Graduate,"Bachelor of Engineering (Civil) from University of Vishveshvaraya College of Engineering, Bengaluru in 1985",60,2.0,0.0,0.0,, Data corresponds to the period from 24-06-2024 to 09-08-2024. (Attendance not available)
Jagadish Shettar,Elected,09-06-2024,In Office,Belgaum,Karnataka,Bharatiya Janata Party,Male,Graduate,"LLB (Special) from Sakti Law Vidyalaya, Karnataka in 1980, B.Com from Karnataka University in 1977",68,1.0,0.0,0.0,, Data corresponds to the period from 24-06-2024 to 09-08-2024. (Attendance not available)
K Rajashekar Basavaraj Hitnal,Elected,09-06-2024,In Office,Koppal,Karnataka,Indian National Congress,Male,Upto Higher Secondary,"PUC- Science ISS College, Dharwad in 1997-98",45,1.0,0.0,0.0,, Data corresponds to the period from 24-06-2024 to 09-08-2024. (Attendance not available)
Sunil Bose,Elected,09-06-2024,In Office,Chamarajanagar,Karnataka,Indian National Congress,Male,Upto Higher Secondary,"Second Year, P.U.E., Dept. of Pre-University Education, Govt. of Karnataka in year 2000",42,1.0,0.0,0.0,, Data corresponds to the period from 24-06-2024 to 09-08-2024. (Attendance not available)
Yaduveer Wadiyar,Elected,09-06-2024,In Office,Mysore,Karnataka,Bharatiya Janata Party,Male,Graduate,"B.A. (Double Major in Economics and English) from University of Amherst, Massachusetts, USA in year 2015",32,2.0,0.0,0.0,, Data corresponds to the period from 24-06-2024 to 09-08-2024. (Attendance not available)
Anita Nagarsingh Chouhan,Elected,09-06-2024,In Office,Ratlam,Madhya Pradesh,Bharatiya Janata Party,Female,Post Graduate and above,"L.L.M. from Indore Institute of Law, Devi Ahilya Vishwavidyalaya, Indore, 2019, PhD (pursuing) SAGE University, Indore",39,7.0,0.0,0.0,, Data corresponds to the period from 24-06-2024 to 09-08-2024. (Attendance not available)
Ashish Dubey,Elected,09-06-2024,In Office,Jabalpur,Madhya Pradesh,Bharatiya Janata Party,Male,Graduate,Bachelor of Law and Legislature - (N.E.S. Vidhi Mahavidyalaya / Rani Durgavati University Jabalpur)   Year 2001-02,53,1.0,0.0,0.0,, Data corresponds to the period from 24-06-2024 to 09-08-2024. (Attendance not available)
Bharti Pardhi,Elected,09-06-2024,In Office,Balaghat,Madhya Pradesh,Bharatiya Janata Party,Female,Upto Higher Secondary,B.S.C. (Home Science) Part 1 Year 1985,56,4.0,0.0,0.0,, Data corresponds to the period from 24-06-2024 to 09-08-2024. (Attendance not available)
Lata Wankhede,Elected,09-06-2024,In Office,Sagar,Madhya Pradesh,Bharatiya Janata Party,Female,Post Graduate and above,"Ph.D. from Swami Vivekanand University, Sagar in year 2021",54,4.0,0.0,0.0,, Data corresponds to the period from 24-06-2024 to 09-08-2024. (Attendance not available)
Rahul Singh Lodhi,Elected,09-06-2024,In Office,Damoh,Madhya Pradesh,Bharatiya Janata Party,Male,Upto Higher Secondary,12th Passed from C.B.S.E. in year 2001,40,1.0,0.0,0.0,, Data corresponds to the period from 24-06-2024 to 09-08-2024. (Attendance not available)
Bunty Vivek Sahu,Elected,09-06-2024,In Office,Chhindwara,Madhya Pradesh,Bharatiya Janata Party,Male,Upto Higher Secondary,"B.Com. Part (I) from P.G. Collge, Chhindwara in Year 1997-98",45,0.0,0.0,0.0,, Data corresponds to the period from 24-06-2024 to 09-08-2024. (Attendance not available)
Chhatrapati Shahu Shahaji,Elected,09-06-2024,In Office,Kolhapur,Maharashtra,Indian National Congress,Male,Graduate,"B.A. from Indore Christian College, Indore University in year 1967",76,1.0,0.0,0.0,, Data corresponds to the period from 24-06-2024 to 09-08-2024. (Attendance not available)
Prashant Yadaorao Padole,Elected,09-06-2024,In Office,Bhandara-Gondiya,Maharashtra,Indian National Congress,Male,Post Graduate and above,"M.D. (Medicine) from Odessa State Medical University, Ukraine in year 2002",45,6.0,0.0,0.0,, Data corresponds to the period from 24-06-2024 to 09-08-2024. (Attendance not available)
Kalyan Vaijinathrao Kale,Elected,09-06-2024,In Office,Jalna,Maharashtra,Indian National Congress,Male,Upto Higher Secondary,"D.H.M.S. Bhagwan Homeopathic College, Aurangabad, 1985",61,2.0,0.0,0.0,, Data corresponds to the period from 24-06-2024 to 09-08-2024. (Attendance not available)
Rajabhau Parag Prakash Waje,Elected,09-06-2024,In Office,Nashik,Maharashtra,Shiv Sena (Uddhav Balasaheb Thackeray),Male,Graduate,B.Com. from Pune University in year 1986,58,4.0,0.0,0.0,, Data corresponds to the period from 24-06-2024 to 09-08-2024. (Attendance not available)
Alfred Kanngam S Arthur,Elected,09-06-2024,In Office,Outer Manipur,Manipur,Indian National Congress,Male,Upto Higher Secondary,12th Passed,51,1.0,0.0,0.0,, Data corresponds to the period from 24-06-2024 to 09-08-2024. (Attendance not available)
Ricky Andrew J Syngkon,Elected,09-06-2024,In Office,Shillong,Meghalaya,Voice of the People Party,Male,Post Graduate and above,"PhD (Economics), School of Economics Management and Information Sciences, North-Eastern Hill University, 2007",52,3.0,0.0,0.0,, Data corresponds to the period from 24-06-2024 to 09-08-2024. (Attendance not available)
Richard Vanlalhmangaiha,Elected,09-06-2024,In Office,Mizoram,Mizoram,Zoram People's Movement,Male,Graduate,"B.Com. from Hrangbana College, Aizawl, Mizoram, (NEHU) in year 2000",46,1.0,0.0,0.0,, Data corresponds to the period from 24-06-2024 to 09-08-2024. (Attendance not available)
S Supongmeren Jamir,Elected,09-06-2024,In Office,Nagaland,Nagaland,Indian National Congress,Male,Graduate,"L.L.B. from Mokokchung Law College, North Eastern Hill University in year 1993",61,3.0,0.0,0.0,, Data corresponds to the period from 24-06-2024 to 09-08-2024. (Attendance not available)
Anita Subhadarshini,Elected,09-06-2024,In Office,Aska,Odisha,Bharatiya Janata Party,Female,Post Graduate and above,P.G. (Pol. Sc.) from Utkal University in year 1994,51,3.0,0.0,0.0,, Data corresponds to the period from 24-06-2024 to 09-08-2024. (Attendance not available)
Avimanyu Sethi,Elected,09-06-2024,In Office,Bhadrak,Odisha,Bharatiya Janata Party,Male,Post Graduate and above,"MA (Post Graduate in English), Utkal University, Vanivihar, Bhubaneswar, 1992; Graduate, Bhadrak College, Bhadrak, 1990",54,1.0,0.0,0.0,, Data corresponds to the period from 24-06-2024 to 09-08-2024. (Attendance not available)
Bibhu Prasad Tarai,Elected,09-06-2024,In Office,Jagatsinghpur,Odisha,Bharatiya Janata Party,Male,Post Graduate and above,"MA, Utkal University, 1989; LLB, Madhusudan Law College, Cuttack under Utkal University, 1994",60,3.0,0.0,0.0,, Data corresponds to the period from 24-06-2024 to 09-08-2024. (Attendance not available)
Rabindra Narayan Behera,Elected,09-06-2024,In Office,Jajpur,Odisha,Bharatiya Janata Party,Male,Post Graduate and above,"Ph.D. in Computer Science, Utkal University, 2005",61,2.0,0.0,0.0,, Data corresponds to the period from 24-06-2024 to 09-08-2024. (Attendance not available)
Rudra Narayan Pany,Elected,09-06-2024,In Office,Dhenkanal,Odisha,Bharatiya Janata Party,Male,Graduate,"B.A. from Dhenkanal College under Utkal University, Vani Vihar, Bhubaneswar in 1981",65,4.0,0.0,0.0,, Data corresponds to the period from 24-06-2024 to 09-08-2024. (Attendance not available)
Bhajan Lal Jatav,Elected,09-06-2024,In Office,Karauli-Dholpur,Rajasthan,Indian National Congress,Male,Upto Higher Secondary,"Class 10 Pass, 1986, Secondary Education Board, Rajasthan Ajmer",55,1.0,0.0,0.0,, Data corresponds to the period from 24-06-2024 to 09-08-2024. (Attendance not available)
Damodar Agrawal,Elected,09-06-2024,In Office,Bhilwara,Rajasthan,Bharatiya Janata Party,Male,Post Graduate and above,"M.A. from Rajasthan University, Jaipur in year 1980",68,1.0,0.0,0.0,, Data corresponds to the period from 24-06-2024 to 09-08-2024. (Attendance not available)
Mahima Kumari Mewar,Elected,09-06-2024,In Office,Rajsamand,Rajasthan,Bharatiya Janata Party,Female,Graduate,"B.A. (Psychology) from Shri Ram Ladies College, New Delhi in year 1991",52,3.0,0.0,0.0,, Data corresponds to the period from 24-06-2024 to 09-08-2024. (Attendance not available)
Manju Sharma,Elected,09-06-2024,In Office,Jaipur,Rajasthan,Bharatiya Janata Party,Female,Post Graduate and above,"MA Rajasthan University Jaipur 1983, LLB (Academic) Rajasthan University Jaipur 2004",63,8.0,0.0,0.0,, Data corresponds to the period from 24-06-2024 to 09-08-2024. (Attendance not available)
M K Vishnu Prasad,Elected,09-06-2024,In Office,Cuddalore,Tamil Nadu,Indian National Congress,Male,Graduate,"M.B.B.S. from Madras Medical College, M.G.R. Medical University, Chennai in year 1995",52,4.0,0.0,0.0,, Data corresponds to the period from 24-06-2024 to 09-08-2024. (Attendance not available)
Mani A,Elected,09-06-2024,In Office,Dharmapuri,Tamil Nadu,Dravida Munnetra Kazhagam,Male,Graduate,"B.L. from Central Law College, Salem, Madras University in year 1993",55,1.0,0.0,0.0,, Data corresponds to the period from 24-06-2024 to 09-08-2024. (Attendance not available)
Robert Bruce C,Elected,09-06-2024,In Office,Tirunelveli,Tamil Nadu,Indian National Congress,Male,Post Graduate and above,M.L. from Madras University in year 2023,62,2.0,0.0,0.0,, Data corresponds to the period from 24-06-2024 to 09-08-2024. (Attendance not available)
Tharaniventhan M S,Elected,09-06-2024,In Office,Arani,Tamil Nadu,Dravida Munnetra Kazhagam,Male,Upto Higher Secondary,10th Passed,59,1.0,0.0,0.0,, Data corresponds to the period from 24-06-2024 to 09-08-2024. (Attendance not available)
D K Aruna,Elected,09-06-2024,In Office,Mahbubnagar,Telangana,Bharatiya Janata Party,Female,Upto Higher Secondary,"Intermediate from RBVR Women's College, Narayanaguda, Hyderabad",64,1.0,0.0,0.0,, Data corresponds to the period from 24-06-2024 to 09-08-2024. (Attendance not available)
Eatala Rajender,Elected,09-06-2024,In Office,Malkajgiri,Telangana,Bharatiya Janata Party,Male,Graduate,B.Sc. from Osmania University in 1984,60,1.0,0.0,0.0,, Data corresponds to the period from 24-06-2024 to 09-08-2024. (Attendance not available)
Kadiyam Kavya,Elected,09-06-2024,In Office,Warangal,Telangana,Indian National Congress,Female,Post Graduate and above,"M.D. (PATHOLOGY) from Osmania Medical College, N.T.R. University of Health Sciences, Hyderabad in 2013",41,1.0,0.0,0.0,, Data corresponds to the period from 24-06-2024 to 09-08-2024. (Attendance not available)
Mallu Ravi,Elected,09-06-2024,In Office,Nagarkurnool,Telangana,Indian National Congress,Male,Graduate,"M.B.B.S. from Gandhi Medical College, Osmania University in 1981-82",74,3.0,0.0,0.0,, Data corresponds to the period from 24-06-2024 to 09-08-2024. (Attendance not available)
Vamsi Krishna Gaddam,Elected,09-06-2024,In Office,Peddapalle,Telangana,Indian National Congress,Male,Graduate,"Bachelor of Science and Management, Purdue University, USA",35,1.0,0.0,0.0,, Data corresponds to the period from 24-06-2024 to 09-08-2024. (Attendance not available)
Afzal Ansari,Elected,09-06-2024,In Office,Ghazipur,Uttar Pradesh,Samajwadi Party,Male,Post Graduate and above,"MA (History), Post Graduate College, Ghazipur, 1978",71,1.0,0.0,0.0,, Data corresponds to the period from 24-06-2024 to 09-08-2024. (Attendance not available)
Akhilesh Yadav,Elected,09-06-2024,In Office,Kannauj,Uttar Pradesh,Samajwadi Party,Male,Graduate,B.E. (Civil Environment) from Mysore University in year 1994-95,51,4.0,0.0,0.0,, Data corresponds to the period from 24-06-2024 to 09-08-2024. (Attendance not available)
Shiv Pal Singh Patel,Elected,09-06-2024,In Office,Pratapgarh,Uttar Pradesh,Samajwadi Party,Male,Post Graduate and above,"M.Sc., D.A.V. College, Kanpur, Kanpur University, 1979",68,3.0,0.0,0.0,, Data corresponds to the period from 24-06-2024 to 09-08-2024. (Attendance not available)
